ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
all,42,0.976521116678597,0.9295746420020735,0.9870744010088273,0.9807361002349256,0.993495161034428,0.9065716274380351,0.861344388520813,,,0.8196480938416423,0.18035190615835778,0.00650483896557195,0.9775232641374374
all,123,0.9775232641374374,0.9327691099304398,0.9876222011983601,0.981585958313744,0.9937331429478027,0.9107228764592386,0.8675247779490851,,,0.8277126099706745,0.17228739002932553,0.006266857052197366,0.9765926986399427
all,777,0.9753042233357194,0.9253745914020239,0.9864157183919361,0.979282307872723,0.9936538156433444,0.8996861453583291,0.8535633798582603,,,0.8057184750733137,0.1942815249266862,0.0063461843566555605,0.9771653543307086
all,2023,0.9765926986399427,0.9299121933580787,0.987111268771432,0.9809635722679201,0.9933365064255116,0.907592006878445,0.861881498042137,,,0.8218475073313783,0.1781524926686217,0.006663493574488339,0.976521116678597
all,31415,0.9771653543307086,0.9323360945772385,0.9874117043526301,0.9824106792304672,0.9924639060764715,0.9141205160880892,0.8660034563197804,,,0.8357771260997068,0.16422287390029325,0.007536093923528478,0.9753042233357194
base+basic_temporal,42,0.9767358625626342,0.9304867382812874,0.9871870687955845,0.9812681244611646,0.9931778518165952,0.9089789552338108,0.8628720529072834,,,0.8247800586510264,0.17521994134897362,0.006822148183404728,0.9767358625626342
base+basic_temporal,123,0.9767358625626342,0.9304867382812874,0.9871870687955845,0.9812681244611646,0.9931778518165952,0.9089789552338108,0.8628720529072834,,,0.8247800586510264,0.17521994134897362,0.006822148183404728,0.9778095919828204
base+basic_temporal,777,0.974588403722262,0.9232658378755159,0.9860208702500493,0.9789662991633435,0.9931778518165952,0.8979818877851304,0.8492702235274268,,,0.8027859237536656,0.1972140762463343,0.006822148183404728,0.9770937723693629
base+basic_temporal,2023,0.9778095919828204,0.9338104932384516,0.987776025236593,0.9820448486749255,0.9935744883388863,0.9128429626445165,0.8694021791263195,,,0.8321114369501467,0.16788856304985336,0.006425511661113755,0.9767358625626342
base+basic_temporal,31415,0.9770937723693629,0.9324271378805629,0.9873657612128869,0.982864329507939,0.9919086149452642,0.9160422840122215,0.8659210871872547,,,0.8401759530791789,0.1598240469208211,0.00809138505473584,0.974588403722262
base+basic_temporal+typology,42,0.9759484609878311,0.9278063225021285,0.9867601859878635,0.9803476354525524,0.9932571791210535,0.9046197919065678,0.8578573777727898,,,0.8159824046920822,0.1840175953079179,0.006742820878946534,0.9770937723693629
base+basic_temporal+typology,123,0.9770937723693629,0.9313404746366147,0.987388665563175,0.981124686716792,0.9937331429478027,0.9085234629695025,0.8648268529941787,,,0.8233137829912024,0.17668621700879766,0.006266857052197366,0.9757337151037938
base+basic_temporal+typology,777,0.9740873299928418,0.9224917764166216,0.9857300536108483,0.9797053753330199,0.9918292876408059,0.9009732948467959,0.8469318085573007,,,0.8101173020527859,0.18988269794721407,0.008170712359194034,0.976521116678597
base+basic_temporal+typology,2023,0.9757337151037938,0.9272892848517034,0.9866393410318055,0.980418265841623,0.9929398699032207,0.9048277062126074,0.8566803730246443,,,0.8167155425219942,0.18328445747800587,0.0070601300967793115,0.9759484609878311
base+basic_temporal+typology,31415,0.976521116678597,0.9307853441165458,0.9870488825712707,0.982625786163522,0.9915119784229732,0.914744259006208,0.8625964235861996,,,0.8379765395894428,0.16202346041055718,0.008488021577026812,0.9740873299928418
base+structural,42,0.974588403722262,0.9230481112732365,0.9860252726055978,0.9786668750488395,0.993495161034428,0.8966742667342228,0.8490959488138167,,,0.7998533724340176,0.2001466275659824,0.00650483896557195,0.974015748031496
base+structural,123,0.974015748031496,0.9217578396411794,0.9857013432071533,0.9789531335576246,0.9925432333809298,0.8976645785672976,0.8459981162292763,,,0.8027859237536656,0.1972140762463343,0.007456766619070284,0.9754473872584108
base+structural,777,0.9730851825340014,0.9184670985020864,0.9851991812313021,0.9778090326613533,0.9927018879898462,0.8922453721474157,0.8399410402551934,,,0.7917888563049853,0.20821114369501467,0.007298112010153895,0.9741589119541876
base+structural,2023,0.9754473872584108,0.9255436146203837,0.9864997835242256,0.9789860167174439,0.9941297794700936,0.8984578516118796,0.8542382560023939,,,0.8027859237536656,0.1972140762463343,0.005870220529906394,0.974588403722262
base+structural,31415,0.9741589119541876,0.9232151812187772,0.9857588070535327,0.9804598603154673,0.9911153419006822,0.9042820111262941,0.8479146262386582,,,0.8174486803519062,0.18255131964809385,0.008884658099317785,0.9730851825340014
base+structural+typology,42,0.9747315676449535,0.9236981430142452,0.9860996259106123,0.9790444913597623,0.9932571791210535,0.8983881203523156,0.8501371002213824,,,0.8035190615835777,0.19648093841642228,0.006742820878946534,0.9755905511811024
base+structural+typology,123,0.9755905511811024,0.9269625906988195,0.9865583980448579,0.9804904802946016,0.9927018879898462,0.9050752841708762,0.8559168139302675,,,0.8174486803519062,0.18255131964809385,0.007298112010153895,0.9753042233357194
base+structural+typology,777,0.9733715103793844,0.9193344697946174,0.9853566367501181,0.9779653070792311,0.9928605425987624,0.8930578372817859,0.84168082575323,,,0.7932551319648093,0.20674486803519063,0.007139457401237506,0.9737294201861131
base+structural+typology,2023,0.9753042233357194,0.925162660753777,0.986419996063767,0.9789827330260177,0.9939711248611772,0.8983785243074214,0.8534051978398592,,,0.8027859237536656,0.1972140762463343,0.006028875138822783,0.9747315676449535
base+structural+typology,31415,0.9737294201861131,0.9219930336463249,0.9855209689509606,0.9802998194804176,0.9907980326828494,0.9033902186874658,0.8454219049677465,,,0.8159824046920822,0.1840175953079179,0.009201967317150563,0.9733715103793844
base+typology,42,0.9750894774516822,0.924964550181188,0.9862927367260123,0.9795024252855579,0.9931778518165952,0.9005478701898225,0.8524572959404242,,,0.8079178885630498,0.19208211143695014,0.006822148183404728,0.9742304939155333
base+typology,123,0.9742304939155333,0.9222125755284463,0.9858234228557927,0.9788082577416328,0.9929398699032207,0.8971297589985312,0.84712639217954,,,0.8013196480938416,0.19868035190615835,0.0070601300967793115,0.9752326413743737
base+typology,777,0.9738010021474588,0.920971969564327,0.985586011342155,0.9786485218207415,0.9926225606853879,0.8962379665597027,0.844575963313032,,,0.7998533724340176,0.2001466275659824,0.007377439314612089,0.9763063707945597
base+typology,2023,0.9752326413743737,0.9252376420356734,0.9863747341891785,0.9793556459180481,0.993495161034428,0.8999733869688269,0.8531921987543285,,,0.8064516129032258,0.1935483870967742,0.00650483896557195,0.9750894774516822
base+typology,31415,0.9763063707945597,0.9294494770010531,0.9869453756655492,0.9814103066907208,0.9925432333809298,0.9093947838458901,0.8605423429732186,,,0.8262463343108505,0.17375366568914957,0.007456766619070284,0.9738010021474588
